OBJECTID,NO2,PM25,PM10,CO,SO2,OZONE,lat,lng,AQI,createdAt,postalCode,majorPollutant,x,y
1,0.543,1.456,6.009,0.136,0.044,22.544,57.6999999999916,-129.800000000003,21,11/11/2024 10:00:00 PM,V0J 1K0,O3,-129.800000000003,57.6999999999916
2,0.544,1.41,6.009,0.137,0.03,21.609,57.6999999999916,-129.800000000003,20,11/11/2024 11:00:00 PM,V0J 1K0,O3,-129.800000000003,57.6999999999916
3,0.535,1.604,6.678,0.138,0.03,20.376,57.6999999999916,-129.800000000003,19,11/12/2024 12:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
4,0.58,2.635,11.365,0.136,0.032,20.334,57.6999999999916,-129.800000000003,19,11/12/2024 1:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
5,0.567,2.841,12.035,0.137,0.031,19.674,57.6999999999916,-129.800000000003,18,11/12/2024 2:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
6,0.554,2.745,12.035,0.138,0.029,19.707,57.6999999999916,-129.800000000003,18,11/12/2024 3:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
7,0.406,2.681,11.486,0.135,0.024,20.222,57.6999999999916,-129.800000000003,19,11/12/2024 4:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
8,0.383,2.77,12.365,0.136,0.022,21.223,57.6999999999916,-129.800000000003,20,11/12/2024 5:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
9,0.361,3.003,13.035,0.138,0.02,22.384,57.6999999999916,-129.800000000003,21,11/12/2024 6:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
10,0.357,2.842,12.365,0.133,0.014,22.896,57.6999999999916,-129.800000000003,21,11/12/2024 7:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
11,0.333,2.833,12.365,0.134,0.012,22.971,57.6999999999916,-129.800000000003,21,11/12/2024 8:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
12,0.31,2.622,11.404,0.135,0.01,23.234,57.6999999999916,-129.800000000003,22,11/12/2024 9:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
13,0.228,2.57,11.026,0.13,0.01,22.878,57.6999999999916,-129.800000000003,21,11/12/2024 10:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
14,0.537,2.398,9.687,0.134,0.029,23.539,57.6999999999916,-129.800000000003,22,11/12/2024 11:00:00 AM,V0J 1K0,O3,-129.800000000003,57.6999999999916
15,0.516,2.319,9.687,0.135,0.026,22.577,57.6999999999916,-129.800000000003,21,11/12/2024 12:00:00 PM,V0J 1K0,O3,-129.800000000003,57.6999999999916
