OBJECTID,createdAt,cloudCover,dewPoint,humidity,pressure,precipIntensity,surfacePressure,temperature,visibility,windGust,windSpeed,windBearing,ozone,uvIndex,precipProbability,apparentTemperature,icon,precipType,lat,lng,x,y
1,11/11/2024 10:00:00 PM,0.92,17.54,89,998,0,840,20,10,2.01,1.57,289,377.37,0,6.66666666666667,20,cloudy,,57.733,-129.7677,-129.7677,57.733
2,11/11/2024 11:00:00 PM,0.82,17.84,93,998,0,840,19,10,1.8,1.92,284,372.26,0,3.33333333333333,19,cloudy,,57.733,-129.7677,-129.7677,57.733
3,11/12/2024 12:00:00 AM,0.71,13.09,97,999,0,841,14,10,2.26,2.39,259,368.73,0,,14,cloudy,,57.733,-129.7677,-129.7677,57.733
4,11/12/2024 1:00:00 AM,0.56,8,98,1001,0,841,10,7.31446,3.16,3.5,217,369.1,0,,3,partly-cloudy,,57.733,-129.7677,-129.7677,57.733
5,11/12/2024 2:00:00 AM,0.11,5.88,98,1003,0,841,8,8.3368,3.13,3.58,204,373.9,0,1,1,clear,,57.733,-129.7677,-129.7677,57.733
6,11/12/2024 3:00:00 AM,0.08,5,98,1003,0,841,7,8.34033,3.43,4.04,186,377.43,0,0,0,clear,,57.733,-129.7677,-129.7677,57.733
7,11/12/2024 4:00:00 AM,0.24,4.46,97,1004,0,841,7,10,3.61,4.04,176,378.39,0,0,0,clear,,57.733,-129.7677,-129.7677,57.733
8,11/12/2024 5:00:00 AM,0.42,4.72,96,1004,0,842,7,10,3.82,4.39,181,373.29,0,,0,partly-cloudy,,57.733,-129.7677,-129.7677,57.733
9,11/12/2024 6:00:00 AM,0.71,4.35,97,1004,0,842,7,10,3.61,4.05,180,374.94,0,,0,cloudy,,57.733,-129.7677,-129.7677,57.733
10,11/12/2024 7:00:00 AM,0.6,4.91,97,1004,0,842,7,10,2.96,3.36,167,376.94,0,0,1,partly-cloudy,,57.733,-129.7677,-129.7677,57.733
11,11/12/2024 8:00:00 AM,0.51,5.03,96,1004,0,842,7,10,2.91,3.15,162,380.84,0,0,1,partly-cloudy,,57.733,-129.7677,-129.7677,57.733
12,11/12/2024 9:00:00 AM,0.55,5.16,96,1004,0,843,7,10,2.93,3.16,160,387.78,0,,1,partly-cloudy,,57.733,-129.7677,-129.7677,57.733
13,11/12/2024 10:00:00 AM,0.75,3.57,97,1005,0,843,6,10,2.69,2.86,149,392.93,0,,6,cloudy,,57.733,-129.7677,-129.7677,57.733
14,11/12/2024 11:00:00 AM,0.99,4.88,97,1005,0,843,7,10,2.7,2.73,149,387.51,0,0,7,cloudy,,57.733,-129.7677,-129.7677,57.733
15,11/12/2024 12:00:00 PM,1,5.5,97,1005,0,843,8,9.93856,2.92,3.09,154,386.33,0,0,1,cloudy,,57.733,-129.7677,-129.7677,57.733
16,11/12/2024 1:00:00 PM,1,7.04,97,1005,0,843,9,10,2.72,2.82,156,382,0,1,9,cloudy,,57.733,-129.7677,-129.7677,57.733
17,11/12/2024 2:00:00 PM,1,6.93,97,1005,0,843,9,10,2.49,2.47,146,382.48,0,2,9,cloudy,,57.733,-129.7677,-129.7677,57.733
